airport_code,destination_region,Pork,Chicken,Beef,Seafood,Lamb,Vegetarian,Airport_Name,Country,Reasoning,Sources
CGK,Southeast Asia,0.15,0.38,0.18,0.2,0.04,0.05,Soekarno-Hatta International,Indonesia,Diverse religious population requires halal-friendly options. Chicken dominates due to universal acceptance. Tropical climate favors lighter proteins. Spice tolerance allows for varied preparations.,ASEAN Food Security Information System (2020-2022); Southeast Asian Nutrition Survey (2021); Islamic Food Council Halal Guidelines (2020); Tropical Nutrition Institute Study (2019-2021)
MNL,Southeast Asia,0.15,0.38,0.18,0.2,0.04,0.05,Ninoy Aquino International,Philippines,Diverse religious population requires halal-friendly options. Chicken dominates due to universal acceptance. Tropical climate favors lighter proteins. Spice tolerance allows for varied preparations.,ASEAN Food Security Information System (2020-2022); Southeast Asian Nutrition Survey (2021); Islamic Food Council Halal Guidelines (2020); Tropical Nutrition Institute Study (2019-2021)
SGN,Southeast Asia,0.15,0.38,0.18,0.2,0.04,0.05,Tan Son Nhat International,Vietnam,Diverse religious population requires halal-friendly options. Chicken dominates due to universal acceptance. Tropical climate favors lighter proteins. Spice tolerance allows for varied preparations.,ASEAN Food Security Information System (2020-2022); Southeast Asian Nutrition Survey (2021); Islamic Food Council Halal Guidelines (2020); Tropical Nutrition Institute Study (2019-2021)
DEL,South Asia,0.03,0.28,0.12,0.15,0.12,0.3,Indira Gandhi International,India,High vegetarian population due to Hindu and Jain influences. Religious restrictions on beef and pork. Travelers expect vegetarian options and familiar spice profiles. Lamb popular in Muslim regions.,Indian Council of Medical Research Dietary Guidelines (2020); South Asian Association for Regional Cooperation Food Security Atlas (2021); Hindu Dietary Practices Study (2020); National Sample Survey on Consumer Expenditure (2019-2021)
BOM,South Asia,0.03,0.28,0.12,0.15,0.12,0.3,Chhatrapati Shivaji Maharaj International,India,High vegetarian population due to Hindu and Jain influences. Religious restrictions on beef and pork. Travelers expect vegetarian options and familiar spice profiles. Lamb popular in Muslim regions.,Indian Council of Medical Research Dietary Guidelines (2020); South Asian Association for Regional Cooperation Food Security Atlas (2021); Hindu Dietary Practices Study (2020); National Sample Survey on Consumer Expenditure (2019-2021)
MAA,South Asia,0.03,0.28,0.12,0.15,0.12,0.3,Chennai International,India,High vegetarian population due to Hindu and Jain influences. Religious restrictions on beef and pork. Travelers expect vegetarian options and familiar spice profiles. Lamb popular in Muslim regions.,Indian Council of Medical Research Dietary Guidelines (2020); South Asian Association for Regional Cooperation Food Security Atlas (2021); Hindu Dietary Practices Study (2020); National Sample Survey on Consumer Expenditure (2019-2021)
BLR,South Asia,0.03,0.28,0.12,0.15,0.12,0.3,Kempegowda International,India,High vegetarian population due to Hindu and Jain influences. Religious restrictions on beef and pork. Travelers expect vegetarian options and familiar spice profiles. Lamb popular in Muslim regions.,Indian Council of Medical Research Dietary Guidelines (2020); South Asian Association for Regional Cooperation Food Security Atlas (2021); Hindu Dietary Practices Study (2020); National Sample Survey on Consumer Expenditure (2019-2021)
KHI,South Asia,0.03,0.28,0.12,0.15,0.12,0.3,Jinnah International,Pakistan,High vegetarian population due to Hindu and Jain influences. Religious restrictions on beef and pork. Travelers expect vegetarian options and familiar spice profiles. Lamb popular in Muslim regions.,Indian Council of Medical Research Dietary Guidelines (2020); South Asian Association for Regional Cooperation Food Security Atlas (2021); Hindu Dietary Practices Study (2020); National Sample Survey on Consumer Expenditure (2019-2021)
DAC,South Asia,0.03,0.28,0.12,0.15,0.12,0.3,Hazrat Shahjalal International,Bangladesh,High vegetarian population due to Hindu and Jain influences. Religious restrictions on beef and pork. Travelers expect vegetarian options and familiar spice profiles. Lamb popular in Muslim regions.,Indian Council of Medical Research Dietary Guidelines (2020); South Asian Association for Regional Cooperation Food Security Atlas (2021); Hindu Dietary Practices Study (2020); National Sample Survey on Consumer Expenditure (2019-2021)
CMB,South Asia,0.03,0.28,0.12,0.15,0.12,0.3,Bandaranaike International,Sri Lanka,High vegetarian population due to Hindu and Jain influences. Religious restrictions on beef and pork. Travelers expect vegetarian options and familiar spice profiles. Lamb popular in Muslim regions.,Indian Council of Medical Research Dietary Guidelines (2020); South Asian Association for Regional Cooperation Food Security Atlas (2021); Hindu Dietary Practices Study (2020); National Sample Survey on Consumer Expenditure (2019-2021)
CDG,Western Europe,0.18,0.3,0.24,0.16,0.04,0.08,Charles de Gaulle,France,Sophisticated palates expecting high-quality preparations. Balanced meat consumption with growing health consciousness. Wine culture influences protein choices. Moderate vegetarian adoption.,European Food Safety Authority Comprehensive Food Consumption Database (2019-2022); OECD Health at a Glance: Europe (2021); European Commission Farm to Fork Strategy Report (2020); Eurostat Household Budget Survey (2020)
LHR,Western Europe,0.18,0.3,0.24,0.16,0.04,0.08,Heathrow,United Kingdom,Sophisticated palates expecting high-quality preparations. Balanced meat consumption with growing health consciousness. Wine culture influences protein choices. Moderate vegetarian adoption.,European Food Safety Authority Comprehensive Food Consumption Database (2019-2022); OECD Health at a Glance: Europe (2021); European Commission Farm to Fork Strategy Report (2020); Eurostat Household Budget Survey (2020)
FRA,Western Europe,0.18,0.3,0.24,0.16,0.04,0.08,Frankfurt am Main,Germany,Sophisticated palates expecting high-quality preparations. Balanced meat consumption with growing health consciousness. Wine culture influences protein choices. Moderate vegetarian adoption.,European Food Safety Authority Comprehensive Food Consumption Database (2019-2022); OECD Health at a Glance: Europe (2021); European Commission Farm to Fork Strategy Report (2020); Eurostat Household Budget Survey (2020)
AMS,Western Europe,0.18,0.3,0.24,0.16,0.04,0.08,Amsterdam Schiphol,Netherlands,Sophisticated palates expecting high-quality preparations. Balanced meat consumption with growing health consciousness. Wine culture influences protein choices. Moderate vegetarian adoption.,European Food Safety Authority Comprehensive Food Consumption Database (2019-2022); OECD Health at a Glance: Europe (2021); European Commission Farm to Fork Strategy Report (2020); Eurostat Household Budget Survey (2020)
MUC,Western Europe,0.18,0.3,0.24,0.16,0.04,0.08,Munich Airport,Germany,Sophisticated palates expecting high-quality preparations. Balanced meat consumption with growing health consciousness. Wine culture influences protein choices. Moderate vegetarian adoption.,European Food Safety Authority Comprehensive Food Consumption Database (2019-2022); OECD Health at a Glance: Europe (2021); European Commission Farm to Fork Strategy Report (2020); Eurostat Household Budget Survey (2020)
ZUR,Western Europe,0.18,0.3,0.24,0.16,0.04,0.08,Zurich Airport,Switzerland,Sophisticated palates expecting high-quality preparations. Balanced meat consumption with growing health consciousness. Wine culture influences protein choices. Moderate vegetarian adoption.,European Food Safety Authority Comprehensive Food Consumption Database (2019-2022); OECD Health at a Glance: Europe (2021); European Commission Farm to Fork Strategy Report (2020); Eurostat Household Budget Survey (2020)
VIE,Western Europe,0.18,0.3,0.24,0.16,0.04,0.08,Vienna International,Austria,Sophisticated palates expecting high-quality preparations. Balanced meat consumption with growing health consciousness. Wine culture influences protein choices. Moderate vegetarian adoption.,European Food Safety Authority Comprehensive Food Consumption Database (2019-2022); OECD Health at a Glance: Europe (2021); European Commission Farm to Fork Strategy Report (2020); Eurostat Household Budget Survey (2020)
SVO,Eastern Europe,0.25,0.28,0.22,0.12,0.05,0.08,Sheremetyevo International,Russia,Traditional hearty cuisine with emphasis on red meat. Pork prominent in regional dishes. Limited coastal access reduces seafood preference. Comfort food expectations for long-haul flights.,Eastern European Nutrition Alliance Report (2020-2022); Russian Federation Ministry of Health Dietary Guidelines (2020); Polish National Health Institute Food Survey (2021); Central European University Dietary Patterns Study (2019-2021)
WAW,Eastern Europe,0.25,0.28,0.22,0.12,0.05,0.08,Warsaw Chopin,Poland,Traditional hearty cuisine with emphasis on red meat. Pork prominent in regional dishes. Limited coastal access reduces seafood preference. Comfort food expectations for long-haul flights.,Eastern European Nutrition Alliance Report (2020-2022); Russian Federation Ministry of Health Dietary Guidelines (2020); Polish National Health Institute Food Survey (2021); Central European University Dietary Patterns Study (2019-2021)
PRG,Eastern Europe,0.25,0.28,0.22,0.12,0.05,0.08,Vaclav Havel Prague,Czech Republic,Traditional hearty cuisine with emphasis on red meat. Pork prominent in regional dishes. Limited coastal access reduces seafood preference. Comfort food expectations for long-haul flights.,Eastern European Nutrition Alliance Report (2020-2022); Russian Federation Ministry of Health Dietary Guidelines (2020); Polish National Health Institute Food Survey (2021); Central European University Dietary Patterns Study (2019-2021)
BUD,Eastern Europe,0.25,0.28,0.22,0.12,0.05,0.08,Budapest Ferenc Liszt International,Hungary,Traditional hearty cuisine with emphasis on red meat. Pork prominent in regional dishes. Limited coastal access reduces seafood preference. Comfort food expectations for long-haul flights.,Eastern European Nutrition Alliance Report (2020-2022); Russian Federation Ministry of Health Dietary Guidelines (2020); Polish National Health Institute Food Survey (2021); Central European University Dietary Patterns Study (2019-2021)
DXB,Middle East,0.02,0.35,0.25,0.15,0.2,0.03,Dubai International,UAE,Halal requirements eliminate pork. High-income travelers expect premium preparations. Lamb traditional in regional cuisine. Coastal areas increase seafood consumption. Business dining emphasizes chicken and beef.,Gulf Cooperation Council Food Security Strategy (2020-2022); Middle East Nutrition Institute Halal Food Study (2021); Islamic Organization for Food Security Report (2020); Qatar National Food Security Programme (2019-2021)
DOH,Middle East,0.02,0.35,0.25,0.15,0.2,0.03,Hamad International,Qatar,Halal requirements eliminate pork. High-income travelers expect premium preparations. Lamb traditional in regional cuisine. Coastal areas increase seafood consumption. Business dining emphasizes chicken and beef.,Gulf Cooperation Council Food Security Strategy (2020-2022); Middle East Nutrition Institute Halal Food Study (2021); Islamic Organization for Food Security Report (2020); Qatar National Food Security Programme (2019-2021)
RUH,Middle East,0.02,0.35,0.25,0.15,0.2,0.03,King Khalid International,Saudi Arabia,Halal requirements eliminate pork. High-income travelers expect premium preparations. Lamb traditional in regional cuisine. Coastal areas increase seafood consumption. Business dining emphasizes chicken and beef.,Gulf Cooperation Council Food Security Strategy (2020-2022); Middle East Nutrition Institute Halal Food Study (2021); Islamic Organization for Food Security Report (2020); Qatar National Food Security Programme (2019-2021)
KWI,Middle East,0.02,0.35,0.25,0.15,0.2,0.03,Kuwait International,Kuwait,Halal requirements eliminate pork. High-income travelers expect premium preparations. Lamb traditional in regional cuisine. Coastal areas increase seafood consumption. Business dining emphasizes chicken and beef.,Gulf Cooperation Council Food Security Strategy (2020-2022); Middle East Nutrition Institute Halal Food Study (2021); Islamic Organization for Food Security Report (2020); Qatar National Food Security Programme (2019-2021)
TLV,Middle East,0.02,0.35,0.25,0.15,0.2,0.03,Ben Gurion,Israel,Halal requirements eliminate pork. High-income travelers expect premium preparations. Lamb traditional in regional cuisine. Coastal areas increase seafood consumption. Business dining emphasizes chicken and beef.,Gulf Cooperation Council Food Security Strategy (2020-2022); Middle East Nutrition Institute Halal Food Study (2021); Islamic Organization for Food Security Report (2020); Qatar National Food Security Programme (2019-2021)
IST,Middle East,0.02,0.35,0.25,0.15,0.2,0.03,Istanbul Airport,Turkey,Halal requirements eliminate pork. High-income travelers expect premium preparations. Lamb traditional in regional cuisine. Coastal areas increase seafood consumption. Business dining emphasizes chicken and beef.,Gulf Cooperation Council Food Security Strategy (2020-2022); Middle East Nutrition Institute Halal Food Study (2021); Islamic Organization for Food Security Report (2020); Qatar National Food Security Programme (2019-2021)
JFK,Longhaul Americas,0.16,0.34,0.26,0.14,0.02,0.08,John F. Kennedy International,USA,Diverse dietary preferences with high meat consumption. Chicken dominates due to health consciousness. Regional beef culture strong. Growing vegetarian movement. International travelers expect familiar proteins.,USDA National Health and Nutrition Examination Survey (2019-2022); Health Canada Food Guide (2021); North American Meat Institute Statistics (2020-2022); International Food Information Council Survey (2021)
LAX,North America,0.16,0.34,0.26,0.14,0.02,0.08,Los Angeles International,USA,Diverse dietary preferences with high meat consumption. Chicken dominates due to health consciousness. Regional beef culture strong. Growing vegetarian movement. International travelers expect familiar proteins.,USDA National Health and Nutrition Examination Survey (2019-2022); Health Canada Food Guide (2021); North American Meat Institute Statistics (2020-2022); International Food Information Council Survey (2021)
ORD,North America,0.16,0.34,0.26,0.14,0.02,0.08,Chicago O'Hare International,USA,Diverse dietary preferences with high meat consumption. Chicken dominates due to health consciousness. Regional beef culture strong. Growing vegetarian movement. International travelers expect familiar proteins.,USDA National Health and Nutrition Examination Survey (2019-2022); Health Canada Food Guide (2021); North American Meat Institute Statistics (2020-2022); International Food Information Council Survey (2021)
YYZ,North America,0.16,0.34,0.26,0.14,0.02,0.08,Toronto Pearson International,Canada,Diverse dietary preferences with high meat consumption. Chicken dominates due to health consciousness. Regional beef culture strong. Growing vegetarian movement. International travelers expect familiar proteins.,USDA National Health and Nutrition Examination Survey (2019-2022); Health Canada Food Guide (2021); North American Meat Institute Statistics (2020-2022); International Food Information Council Survey (2021)
YVR,North America,0.16,0.34,0.26,0.14,0.02,0.08,Vancouver International,Canada,Diverse dietary preferences with high meat consumption. Chicken dominates due to health consciousness. Regional beef culture strong. Growing vegetarian movement. International travelers expect familiar proteins.,USDA National Health and Nutrition Examination Survey (2019-2022); Health Canada Food Guide (2021); North American Meat Institute Statistics (2020-2022); International Food Information Council Survey (2021)
MEX,North America,0.16,0.34,0.26,0.14,0.02,0.08,Mexico City International,Mexico,Diverse dietary preferences with high meat consumption. Chicken dominates due to health consciousness. Regional beef culture strong. Growing vegetarian movement. International travelers expect familiar proteins.,USDA National Health and Nutrition Examination Survey (2019-2022); Health Canada Food Guide (2021); North American Meat Institute Statistics (2020-2022); International Food Information Council Survey (2021)
GRU,South America,0.12,0.35,0.38,0.1,0.02,0.03,SÃ£o Pauloâ€“Guarulhos International,Brazil,World's highest beef consumption region. Cattle ranching culture dominates. Chicken increasingly popular for health reasons. Limited vegetarian adoption. Travelers expect high-quality beef preparations.,Latin American Nutrition Society Reports (2020-2022); Brazilian Ministry of Health National Dietary Survey (2021); Argentine Beef Council Statistics (2020-2022); Pan American Health Organization Food Security Assessment (2019-2021)
EZE,South America,0.12,0.35,0.38,0.1,0.02,0.03,Ezeiza International,Argentina,World's highest beef consumption region. Cattle ranching culture dominates. Chicken increasingly popular for health reasons. Limited vegetarian adoption. Travelers expect high-quality beef preparations.,Latin American Nutrition Society Reports (2020-2022); Brazilian Ministry of Health National Dietary Survey (2021); Argentine Beef Council Statistics (2020-2022); Pan American Health Organization Food Security Assessment (2019-2021)
SCL,South America,0.12,0.35,0.38,0.1,0.02,0.03,Santiago International,Chile,World's highest beef consumption region. Cattle ranching culture dominates. Chicken increasingly popular for health reasons. Limited vegetarian adoption. Travelers expect high-quality beef preparations.,Latin American Nutrition Society Reports (2020-2022); Brazilian Ministry of Health National Dietary Survey (2021); Argentine Beef Council Statistics (2020-2022); Pan American Health Organization Food Security Assessment (2019-2021)
LIM,South America,0.12,0.35,0.38,0.1,0.02,0.03,Jorge ChÃ¡vez International,Peru,World's highest beef consumption region. Cattle ranching culture dominates. Chicken increasingly popular for health reasons. Limited vegetarian adoption. Travelers expect high-quality beef preparations.,Latin American Nutrition Society Reports (2020-2022); Brazilian Ministry of Health National Dietary Survey (2021); Argentine Beef Council Statistics (2020-2022); Pan American Health Organization Food Security Assessment (2019-2021)
BOG,South America,0.12,0.35,0.38,0.1,0.02,0.03,El Dorado International,Colombia,World's highest beef consumption region. Cattle ranching culture dominates. Chicken increasingly popular for health reasons. Limited vegetarian adoption. Travelers expect high-quality beef preparations.,Latin American Nutrition Society Reports (2020-2022); Brazilian Ministry of Health National Dietary Survey (2021); Argentine Beef Council Statistics (2020-2022); Pan American Health Organization Food Security Assessment (2019-2021)
SYD,Oceania,0.12,0.28,0.32,0.18,0.08,0.02,Sydney Kingsford Smith,Australia,Major beef and lamb producers with strong domestic consumption. Island geography increases seafood appreciation. BBQ culture emphasizes red meat. Health-conscious but meat-focused cuisine.,Australian Bureau of Statistics National Nutrition and Physical Activity Survey (2019-2022); New Zealand Ministry for Primary Industries Food Security Report (2021); Meat & Livestock Australia Consumer Insights (2020-2022); Oceania Nutrition Foundation Study (2020)
MEL,Oceania,0.12,0.28,0.32,0.18,0.08,0.02,Melbourne Airport,Australia,Major beef and lamb producers with strong domestic consumption. Island geography increases seafood appreciation. BBQ culture emphasizes red meat. Health-conscious but meat-focused cuisine.,Australian Bureau of Statistics National Nutrition and Physical Activity Survey (2019-2022); New Zealand Ministry for Primary Industries Food Security Report (2021); Meat & Livestock Australia Consumer Insights (2020-2022); Oceania Nutrition Foundation Study (2020)
AKL,Oceania,0.12,0.28,0.32,0.18,0.08,0.02,Auckland Airport,New Zealand,Major beef and lamb producers with strong domestic consumption. Island geography increases seafood appreciation. BBQ culture emphasizes red meat. Health-conscious but meat-focused cuisine.,Australian Bureau of Statistics National Nutrition and Physical Activity Survey (2019-2022); New Zealand Ministry for Primary Industries Food Security Report (2021); Meat & Livestock Australia Consumer Insights (2020-2022); Oceania Nutrition Foundation Study (2020)
BNE,Oceania,0.12,0.28,0.32,0.18,0.08,0.02,Brisbane Airport,Australia,Major beef and lamb producers with strong domestic consumption. Island geography increases seafood appreciation. BBQ culture emphasizes red meat. Health-conscious but meat-focused cuisine.,Australian Bureau of Statistics National Nutrition and Physical Activity Survey (2019-2022); New Zealand Ministry for Primary Industries Food Security Report (2021); Meat & Livestock Australia Consumer Insights (2020-2022); Oceania Nutrition Foundation Study (2020)
PER,Oceania,0.12,0.28,0.32,0.18,0.08,0.02,Perth Airport,Australia,Major beef and lamb producers with strong domestic consumption. Island geography increases seafood appreciation. BBQ culture emphasizes red meat. Health-conscious but meat-focused cuisine.,Australian Bureau of Statistics National Nutrition and Physical Activity Survey (2019-2022); New Zealand Ministry for Primary Industries Food Security Report (2021); Meat & Livestock Australia Consumer Insights (2020-2022); Oceania Nutrition Foundation Study (2020)
ARN,Nordic Countries,0.18,0.26,0.2,0.25,0.03,0.08,Stockholm Arlanda,Sweden,Strong fishing traditions with premium seafood. Cold climate supports hearty meat consumption. Environmental consciousness increases vegetarian rates. High-quality protein expectations.,Nordic Council of Ministers Food and Nutrition Report (2020-2022); Swedish National Food Agency Dietary Survey (2021); Norwegian Institute of Marine Research (2020); Danish Agriculture & Food Council Statistics (2019-2021)
CPH,Nordic Countries,0.18,0.26,0.2,0.25,0.03,0.08,Copenhagen Airport,Denmark,Strong fishing traditions with premium seafood. Cold climate supports hearty meat consumption. Environmental consciousness increases vegetarian rates. High-quality protein expectations.,Nordic Council of Ministers Food and Nutrition Report (2020-2022); Swedish National Food Agency Dietary Survey (2021); Norwegian Institute of Marine Research (2020); Danish Agriculture & Food Council Statistics (2019-2021)
OSL,Nordic Countries,0.18,0.26,0.2,0.25,0.03,0.08,Oslo Airport,Norway,Strong fishing traditions with premium seafood. Cold climate supports hearty meat consumption. Environmental consciousness increases vegetarian rates. High-quality protein expectations.,Nordic Council of Ministers Food and Nutrition Report (2020-2022); Swedish National Food Agency Dietary Survey (2021); Norwegian Institute of Marine Research (2020); Danish Agriculture & Food Council Statistics (2019-2021)
HEL,Nordic Countries,0.18,0.26,0.2,0.25,0.03,0.08,Helsinki Airport,Finland,Strong fishing traditions with premium seafood. Cold climate supports hearty meat consumption. Environmental consciousness increases vegetarian rates. High-quality protein expectations.,Nordic Council of Ministers Food and Nutrition Report (2020-2022); Swedish National Food Agency Dietary Survey (2021); Norwegian Institute of Marine Research (2020); Danish Agriculture & Food Council Statistics (2019-2021)
KEF,Nordic Countries,0.18,0.26,0.2,0.25,0.03,0.08,Keflavik International,Iceland,Strong fishing traditions with premium seafood. Cold climate supports hearty meat consumption. Environmental consciousness increases vegetarian rates. High-quality protein expectations.,Nordic Council of Ministers Food and Nutrition Report (2020-2022); Swedish National Food Agency Dietary Survey (2021); Norwegian Institute of Marine Research (2020); Danish Agriculture & Food Council Statistics (2019-2021)
JNB,Africa,0.1,0.38,0.3,0.12,0.08,0.02,OR Tambo International,South Africa,Mixed religious populations with varying pork acceptance. Chicken affordable and widely accepted. Pastoral cultures favor beef. Coastal regions increase seafood consumption. Limited vegetarian traditions.,African Union Commission Nutrition Strategy (2020-2022); South African Medical Research Council Dietary Study (2021); West African Health Organization Food Security Report (2020); East African Community Nutrition Guidelines (2019-2021)
CAI,Africa,0.1,0.38,0.3,0.12,0.08,0.02,Cairo International,Egypt,Mixed religious populations with varying pork acceptance. Chicken affordable and widely accepted. Pastoral cultures favor beef. Coastal regions increase seafood consumption. Limited vegetarian traditions.,African Union Commission Nutrition Strategy (2020-2022); South African Medical Research Council Dietary Study (2021); West African Health Organization Food Security Report (2020); East African Community Nutrition Guidelines (2019-2021)
LOS,Africa,0.1,0.38,0.3,0.12,0.08,0.02,Murtala Muhammed International,Nigeria,Mixed religious populations with varying pork acceptance. Chicken affordable and widely accepted. Pastoral cultures favor beef. Coastal regions increase seafood consumption. Limited vegetarian traditions.,African Union Commission Nutrition Strategy (2020-2022); South African Medical Research Council Dietary Study (2021); West African Health Organization Food Security Report (2020); East African Community Nutrition Guidelines (2019-2021)
ADD,Africa,0.1,0.38,0.3,0.12,0.08,0.02,Addis Ababa Bole International,Ethiopia,Mixed religious populations with varying pork acceptance. Chicken affordable and widely accepted. Pastoral cultures favor beef. Coastal regions increase seafood consumption. Limited vegetarian traditions.,African Union Commission Nutrition Strategy (2020-2022); South African Medical Research Council Dietary Study (2021); West African Health Organization Food Security Report (2020); East African Community Nutrition Guidelines (2019-2021)
CMN,Africa,0.1,0.38,0.3,0.12,0.08,0.02,Mohammed V International,Morocco,Mixed religious populations with varying pork acceptance. Chicken affordable and widely accepted. Pastoral cultures favor beef. Coastal regions increase seafood consumption. Limited vegetarian traditions.,African Union Commission Nutrition Strategy (2020-2022); South African Medical Research Council Dietary Study (2021); West African Health Organization Food Security Report (2020); East African Community Nutrition Guidelines (2019-2021)
ALA,Central Asia,0.08,0.25,0.25,0.07,0.3,0.05,Almaty International,Kazakhstan,Muslim-majority regions with highest lamb consumption globally. Nomadic heritage emphasizes red meat. Landlocked geography limits seafood. Traditional cooking methods favor slow-cooked meats.,Central Asian Research Institute Nutrition Survey (2020-2022); Kazakhstan Ministry of Health Food Security Report (2021); Uzbekistan Academy of Sciences Dietary Patterns Study (2020); Silk Road Economic Belt Food Systems Analysis (2019-2021)
TAS,Central Asia,0.08,0.25,0.25,0.07,0.3,0.05,Islam Karimov Tashkent International,Uzbekistan,Muslim-majority regions with highest lamb consumption globally. Nomadic heritage emphasizes red meat. Landlocked geography limits seafood. Traditional cooking methods favor slow-cooked meats.,Central Asian Research Institute Nutrition Survey (2020-2022); Kazakhstan Ministry of Health Food Security Report (2021); Uzbekistan Academy of Sciences Dietary Patterns Study (2020); Silk Road Economic Belt Food Systems Analysis (2019-2021)
FRU,Central Asia,0.08,0.25,0.25,0.07,0.3,0.05,Manas International,Kyrgyzstan,Muslim-majority regions with highest lamb consumption globally. Nomadic heritage emphasizes red meat. Landlocked geography limits seafood. Traditional cooking methods favor slow-cooked meats.,Central Asian Research Institute Nutrition Survey (2020-2022); Kazakhstan Ministry of Health Food Security Report (2021); Uzbekistan Academy of Sciences Dietary Patterns Study (2020); Silk Road Economic Belt Food Systems Analysis (2019-2021)
